Brewery,Address,zipcode,PhoneNumber,YelpRating,NumReviews,lat,lng,url,PopDensity,Population Density,LANDSQMI,MedianIncome,Median Income
Binghamton Brewing Co.,"15 Avenue B, Johnson City, NY 13790",13790,-4292,4.5,12,42.115232,-75.95354,https://www.yelp.com/biz/binghamton-brewing-co-johnson-city?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,660,29,40,39518
Tattered Flag Brewery & Still Works,"1 S Union St, Middletown, PA 17057",17057,-10131,5,12,40.19499,-76.73165,https://www.yelp.com/biz/tattered-flag-brewery-and-still-works-middletown?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,660,32.3,53,53069
All Saints Brewing Company,"Rt 119 Roseytown Rd, Greensburg, PA 15601",15601,-2214,4.5,12,40.31197968,-79.52575922,https://www.yelp.com/biz/all-saints-brewing-company-greensburg?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,690,86.2,53,52719
Trusty Brewing Company,"114 E Evergreen Blvd, Vancouver, WA 98660",98660,-1030,4.5,12,45.6289049,-122.6713029,https://www.yelp.com/biz/trusty-brewing-company-vancouver?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,794,14.9,38,38014
Barnhouse Brewery,"43271 Spinks Ferry Rd, Leesburg, VA 20176",20176,-9857,4.5,12,39.204473,-77.4967099,https://www.yelp.com/biz/barnhouse-brewery-leesburg-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,816,57,114,113668
Manor Hill Brewing,"4411 Manor Lane, Ellicott City, MD 21042",21042,-9177,4,12,39.24956,-76.89015,https://www.yelp.com/biz/manor-hill-brewing-ellicott-city?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1016,37.5,143,142528
Star City Brewing Company,"319 S 2nd St, Miamisburg, OH 45342",45342,-9464,4,12,39.63820117,-84.28851888,https://www.yelp.com/biz/star-city-brewing-company-miamisburg?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1060,34.7,51,51265
Southern Peak Brewery,"950 Windy Rd, Apex, NC 27502",27502,-5641,3.5,12,35.7463,-78.84426,https://www.yelp.com/biz/southern-peak-brewery-apex?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1088,28.3,96,95816
Unity Vibration,"93 Ecorse Road, Ypsilanti, MI 48198",48198,-5073,4,12,42.2397075,-83.5971302,https://www.yelp.com/biz/unity-vibration-ypsilanti?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1137,33.6,40,40366
Brew Thru Outlet,"3101 N Croatan Hwy, Kill Devil Hills, NC 27948",27948,-3143,4.5,12,36.049242,-75.681674,https://www.yelp.com/biz/brew-thru-outlet-kill-devil-hills?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1175,9.3,54,53864
